Model,MDO4014B-3
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.2
Horizontal Delay,0.8
Sample Interval,2e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-1.881400e-01,-0.02
-1.881200e-01,-0.04
-1.881000e-01,-0.02
-1.880800e-01,-0.02
-1.880600e-01,-0.04
-1.880400e-01,-0.02
-1.880200e-01,-0.04
-1.880000e-01,-0.02
-1.879800e-01,-0.02
-1.879600e-01,-0.02
-1.879400e-01,-0.02
-1.879200e-01,-0.02
-1.879000e-01,-0.02
-1.878800e-01,-0.02
-1.878600e-01,-0.02
-1.878400e-01,-0.02
-1.878200e-01,-0.04
-1.878000e-01,-0.02
-1.877800e-01,-0.02
-1.877600e-01,-0.04
-1.877400e-01,-0.04
-1.877200e-01,-0.04
-1.877000e-01,-0.02
-1.876800e-01,-0.02
-1.876600e-01,-0.04
-1.876400e-01,-0.04
-1.876200e-01,-0.02
-1.876000e-01,-0.02
-1.875800e-01,-0.02
-1.875600e-01,-0.02
-1.875400e-01,-0.02
-1.875200e-01,0
-1.875000e-01,0
-1.874800e-01,-0.02
-1.874600e-01,-0.02
-1.874400e-01,-0.02
-1.874200e-01,-0.02
-1.874000e-01,0
-1.873800e-01,-0.02
-1.873600e-01,-0.02
-1.873400e-01,-0.02
-1.873200e-01,-0.02
-1.873000e-01,-0.02
-1.872800e-01,-0.02
-1.872600e-01,-0.02
-1.872400e-01,-0.02
-1.872200e-01,-0.02
-1.872000e-01,-0.02
-1.871800e-01,-0.02
-1.871600e-01,-0.04
-1.871400e-01,-0.04
-1.871200e-01,-0.02
-1.871000e-01,-0.04
-1.870800e-01,-0.04
-1.870600e-01,-0.02
-1.870400e-01,-0.04
-1.870200e-01,-0.02
-1.870000e-01,0
-1.869800e-01,-0.04
-1.869600e-01,0
-1.869400e-01,-0.02
-1.869200e-01,0
-1.869000e-01,-0.02
-1.868800e-01,-0.02
-1.868600e-01,-0.02
-1.868400e-01,-0.04
-1.868200e-01,-0.02
-1.868000e-01,-0.02
-1.867800e-01,-0.02
-1.867600e-01,-0.02
-1.867400e-01,-0.04
-1.867200e-01,-0.06
-1.867000e-01,-0.02
-1.866800e-01,-0.02
-1.866600e-01,-0.04
-1.866400e-01,-0.02
-1.866200e-01,-0.02
-1.866000e-01,-0.04
-1.865800e-01,-0.02
-1.865600e-01,-0.02
-1.865400e-01,-0.02
-1.865200e-01,-0.02
-1.865000e-01,-0.02
-1.864800e-01,-0.02
-1.864600e-01,-0.02
-1.864400e-01,-0.02
-1.864200e-01,-0.04
-1.864000e-01,-0.04
-1.863800e-01,-0.04
-1.863600e-01,-0.02
-1.863400e-01,-0.02
-1.863200e-01,-0.02
-1.863000e-01,-0.02
-1.862800e-01,-0.02
-1.862600e-01,-0.02
-1.862400e-01,-0.02
-1.862200e-01,-0.02
-1.862000e-01,-0.02
-1.861800e-01,-0.02
-1.861600e-01,-0.02
-1.861400e-01,-0.04
-1.861200e-01,-0.02
-1.861000e-01,-0.02
-1.860800e-01,-0.02
-1.860600e-01,-0.02
-1.860400e-01,-0.04
-1.860200e-01,-0.04
-1.860000e-01,-0.02
-1.859800e-01,-0.02
-1.859600e-01,-0.02
-1.859400e-01,-0.02
-1.859200e-01,-0.04
-1.859000e-01,-0.04
-1.858800e-01,-0.04
-1.858600e-01,-0.04
-1.858400e-01,-0.02
-1.858200e-01,-0.02
-1.858000e-01,-0.04
-1.857800e-01,-0.02
-1.857600e-01,-0.02
-1.857400e-01,-0.02
-1.857200e-01,-0.02
-1.857000e-01,-0.04
-1.856800e-01,-0.04
-1.856600e-01,-0.02
-1.856400e-01,-0.04
-1.856200e-01,-0.02
-1.856000e-01,-0.04
-1.855800e-01,-0.02
-1.855600e-01,-0.02
-1.855400e-01,-0.04
-1.855200e-01,-0.02
-1.855000e-01,-0.02
-1.854800e-01,-0.02
-1.854600e-01,-0.02
-1.854400e-01,-0.02
-1.854200e-01,-0.02
-1.854000e-01,-0.02
-1.853800e-01,-0.02
-1.853600e-01,-0.04
-1.853400e-01,-0.04
-1.853200e-01,-0.02
-1.853000e-01,-0.02
-1.852800e-01,-0.04
-1.852600e-01,-0.04
-1.852400e-01,-0.04
-1.852200e-01,-0.02
-1.852000e-01,-0.02
-1.851800e-01,-0.04
-1.851600e-01,-0.02
-1.851400e-01,-0.02
-1.851200e-01,-0.02
-1.851000e-01,-0.02
-1.850800e-01,-0.02
-1.850600e-01,-0.02
-1.850400e-01,-0.02
-1.850200e-01,-0.02
-1.850000e-01,-0.02
-1.849800e-01,-0.02
-1.849600e-01,-0.02
-1.849400e-01,-0.02
-1.849200e-01,-0.02
-1.849000e-01,-0.02
-1.848800e-01,-0.02
-1.848600e-01,0
-1.848400e-01,-0.02
-1.848200e-01,-0.02
-1.848000e-01,-0.02
-1.847800e-01,-0.02
-1.847600e-01,-0.04
-1.847400e-01,-0.04
-1.847200e-01,-0.04
-1.847000e-01,-0.02
-1.846800e-01,-0.02
-1.846600e-01,-0.02
-1.846400e-01,0
-1.846200e-01,-0.02
-1.846000e-01,-0.02
-1.845800e-01,-0.02
-1.845600e-01,-0.02
-1.845400e-01,-0.04
-1.845200e-01,-0.02
-1.845000e-01,-0.02
-1.844800e-01,-0.02
-1.844600e-01,-0.02
-1.844400e-01,-0.02
-1.844200e-01,-0.02
-1.844000e-01,-0.02
-1.843800e-01,-0.02
-1.843600e-01,0
-1.843400e-01,0
-1.843200e-01,-0.02
-1.843000e-01,-0.02
-1.842800e-01,-0.02
-1.842600e-01,0
-1.842400e-01,-0.02
-1.842200e-01,-0.02
-1.842000e-01,-0.02
-1.841800e-01,-0.04
-1.841600e-01,-0.04
-1.841400e-01,-0.02
-1.841200e-01,-0.02
-1.841000e-01,0
-1.840800e-01,-0.02
-1.840600e-01,-0.04
-1.840400e-01,-0.02
-1.840200e-01,-0.02
-1.840000e-01,-0.02
-1.839800e-01,-0.02
-1.839600e-01,-0.02
-1.839400e-01,-0.02
-1.839200e-01,-0.02
-1.839000e-01,-0.02
-1.838800e-01,-0.02
-1.838600e-01,0
-1.838400e-01,-0.02
-1.838200e-01,0
-1.838000e-01,0
-1.837800e-01,0
-1.837600e-01,0
-1.837400e-01,0
-1.837200e-01,0
-1.837000e-01,-0.02
-1.836800e-01,-0.04
-1.836600e-01,-0.02
-1.836400e-01,-0.04
-1.836200e-01,-0.02
-1.836000e-01,-0.02
-1.835800e-01,-0.02
